firm_id,year,post,treat,firm_size,main_sector,region,mh_plan,mh_champion,mh_budget,leadership_support,digital_tool,hybrid_policy,well_being_index,engagement_index,life_satisfaction,sick_days,turnover_rate,presenteeism_flag,productivity_per_employee,manager_experience,manager_age,manager_education
100001,2019,0,0,Small,Other Services,Eastern & Midlands,0,0,0,0,0,0,64.64,55.12,7.1,2.7,11.94,0.0,106.33,,,
100002,2019,0,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,0,60.75,59.6,7.68,2.92,14.73,0.0,92.55,,,
100003,2019,0,0,Small,Retail,Eastern & Midlands,0,0,0,0,0,0,66.01,58.82,6.84,2.29,8.87,0.0,106.97,,,
100004,2019,0,0,Large,Production,Eastern & Midlands,0,0,0,0,0,0,62.85,60.09,7.12,2.27,13.34,0.0,86.65,,,
100005,2019,0,0,Large,Retail,Eastern & Midlands,0,0,0,0,0,0,65.29,58.73,7.28,2.85,12.17,0.0,85.73,,,
100006,2019,0,0,Large,Business Services,Northern & Western,0,0,0,0,0,0,62.98,56.0,7.34,2.45,13.29,0.0,76.1,,,
100007,2019,0,0,Small,Retail,Northern & Western,0,0,0,0,0,0,64.15,62.09,7.4,2.99,10.88,0.0,84.68,,,
100008,2019,0,0,Small,Retail,Northern & Western,0,0,0,0,0,0,62.93,60.45,7.14,3.03,13.04,0.0,89.71,,,
100009,2019,0,1,Small,Other Services,Southern,0,0,0,0,0,0,66.61,61.62,7.21,2.26,9.44,0.0,97.96,,,
100010,2019,0,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,66.41,58.02,7.63,2.91,13.59,0.0,89.28,,,
100011,2019,0,0,Small,Other Services,Southern,0,0,0,0,0,0,65.97,57.62,6.79,2.58,11.0,0.0,68.05,,,
100012,2019,0,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,63.5,60.13,7.29,2.61,12.87,0.0,84.3,,,
100013,2019,0,0,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,68.26,60.11,6.8,2.5,12.23,0.0,80.53,,,
100014,2019,0,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,64.45,58.77,7.25,3.21,11.05,1.0,83.22,,,
100015,2019,0,1,Medium,Hospitality,Eastern & Midlands,0,0,0,0,0,0,63.3,59.06,7.26,2.01,14.62,1.0,84.46,,,
