firm_id,year,post,treat,firm_size,sector,region,mh_plan,mh_champion,mh_budget,leadership_support,digital_tool,hybrid_policy,sick_days,presenteeism_flag,turnover_rate,productivity_per_employee,well_being_index,engagement_index,life_satisfaction
100001,2022,1,0,Small,Other Services,Eastern & Midlands,0,0,0,0,0,1,2.72,0.0,16.3,81.9,60.15,55.71,7.35
100002,2022,1,0,Small,Hospitality,Eastern & Midlands,0,0,0,0,0,1,2.82,1.0,18.03,59.86,58.47,55.81,7.15
100003,2022,1,0,Small,Retail,Eastern & Midlands,0,0,0,0,0,0,3.12,0.0,19.43,93.51,58.28,51.65,7.15
100004,2022,1,0,Large,Production,Eastern & Midlands,0,0,0,0,0,1,3.13,0.0,13.05,87.5,60.27,54.28,6.71
100005,2022,1,0,Large,Retail,Eastern & Midlands,0,0,0,0,0,0,3.33,1.0,14.88,84.52,59.33,55.84,6.97
100006,2022,1,0,Large,Business Services,Northern & Western,0,0,0,0,0,0,3.15,0.0,14.38,90.85,55.98,54.13,7.08
100007,2022,1,0,Small,Retail,Northern & Western,0,0,0,0,0,0,3.26,0.0,13.72,92.31,61.47,59.48,7.17
100008,2022,1,0,Small,Retail,Northern & Western,0,0,0,0,0,0,3.17,0.0,18.5,92.1,63.14,57.14,7.14
100009,2022,1,1,Small,Other Services,Southern,1,1,0,1,0,0,2.79,0.0,11.52,70.76,62.36,54.93,7.24
100010,2022,1,0,Medium,Hospitality,Northern & Western,0,0,0,0,0,0,2.42,0.0,17.57,88.8,59.31,56.04,7.25
100011,2022,1,0,Small,Other Services,Southern,0,0,0,0,0,1,2.4,0.0,15.06,96.6,59.97,55.19,7.2
100012,2022,1,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,2.84,0.0,13.96,76.77,61.19,51.2,6.95
100013,2022,1,0,Large,Other Services,Eastern & Midlands,0,0,0,0,0,0,3.18,0.0,17.02,65.77,58.55,58.44,6.86
100014,2022,1,0,Large,Hospitality,Northern & Western,0,0,0,0,0,0,3.14,1.0,15.46,70.45,60.97,54.53,7.19
100015,2022,1,1,Medium,Hospitality,Eastern & Midlands,0,1,1,1,1,1,2.69,0.0,13.36,92.71,64.88,60.23,6.89
100016,2022,1,0,Large,Hospitality,Eastern & Midlands,0,0,0,0,0,0,3.28,1.0,15.78,64.87,56.65,52.6,7.24
100017,2022,1,0,Medium,Retail,Northern & Western,0,0,0,0,0,1,2.79,0.0,15.49,90.47,58.42,57.36,7.27
100018,2022,1,0,Medium,Business Services,Northern & Western,0,0,0,0,0,0,2.54,0.0,12.95,72.24,57.48,54.2,6.9
100019,2022,1,1,Medium,Hospitality,Eastern & Midlands,1,1,0,1,1,0,2.3,0.0,15.01,92.05,64.55,60.16,6.97
100020,2022,1,0,Small,Business Services,Southern,0,0,0,0,0,1,3.03,0.0,16.21,105.38,57.8,54.85,7.39
100021,2022,1,0,Small,Business Services,Southern,0,0,0,0,0,0,3.2,1.0,12.33,82.78,60.75,54.28,7.04
100022,2022,1,0,Large,Construction,Northern & Western,0,0,0,0,0,0,3.13,0.0,18.2,91.28,55.35,54.19,7.26
100023,2022,1,0,Large,Construction,Eastern & Midlands,0,0,0,0,0,0,2.83,0.0,15.41,92.81,62.43,55.04,7.26
100024,2022,1,0,Medium,Production,Southern,0,0,0,0,0,0,3.03,0.0,16.19,97.18,61.89,54.81,7.16
100025,2022,1,0,Small,Other Services,Northern & Western,0,0,0,0,0,0,3.22,1.0,19.94,87.66,61.83,50.0,7.42
100026,2022,1,1,Large,Construction,Northern & Western,1,1,1,1,1,0,2.35,0.0,13.86,98.45,65.65,56.98,7.4
100027,2022,1,1,Large,Hospitality,Eastern & Midlands,1,1,0,0,1,0,2.54,0.0,14.76,91.02,63.66,57.5,7.37
100028,2022,1,1,Small,Business Services,Southern,1,0,0,0,1,0,1.99,0.0,13.08,75.53,65.54,60.42,6.91
